CustomerID,Recency,Frequency,Monetary,TotalQuantity,UniqueProduct,AverageOrderValue,Cluster
12347,1.0986122886681098,2.0794415416798357,8.368925174747135,2458,103,615.7142857142857,1
12348,4.330733340286331,1.6094379124341003,7.494563687769957,2341,22,449.31,1
12349,2.995732273553991,0.6931471805599453,7.472244884833674,631,73,1757.55,0
12350,5.739792912179234,0.6931471805599453,5.815323849389109,197,17,334.4,0
12352,3.6109179126442243,2.1972245773362196,7.826858053356098,536,59,313.255,1
12353,5.3230099791384085,0.6931471805599453,4.499809670330265,20,4,89.0,0
12354,5.4510384535657,0.6931471805599453,6.985086621918461,530,58,1079.4,0
12355,5.3706380281276624,0.6931471805599453,6.132095676847728,240,13,459.4,0
12356,3.1780538303479458,1.3862943611198906,7.941804157314053,1591,53,937.1433333333333,1
12357,3.5263605246161616,0.6931471805599453,8.733701981297274,2708,131,6207.67,1
12358,1.0986122886681098,1.0986122886681098,7.063955286074528,248,13,584.03,1
12359,4.07753744390572,1.6094379124341003,8.750054175177759,1609,214,1577.5075,1
12360,3.970291913552122,1.3862943611198906,7.887231116540211,1165,105,887.3533333333334,1
12361,5.662960480135946,0.6931471805599453,5.251749730731702,91,10,189.9,0
12362,1.3862943611198906,2.3978952727983707,8.56163678004062,2229,201,522.6229999999999,1
12363,4.709530201312334,1.0986122886681098,6.315358001522335,408,23,276.0,0
12364,2.1972245773362196,1.6094379124341003,7.180907299649593,1506,70,328.275,1
12365,5.676753802268282,1.0986122886681098,6.465180028897591,174,22,320.69,0
12367,1.6094379124341003,0.6931471805599453,5.135210028677887,173,11,168.9,0
12370,3.9512437185814275,1.6094379124341003,8.172712169921061,2352,143,885.485,1
12371,3.828641396489095,1.0986122886681098,7.543781692052325,591,63,943.98,1
12372,4.290459441148391,1.3862943611198906,7.169380809114136,794,34,432.68,0
12373,5.7430031878094825,0.6931471805599453,5.901539839579995,197,14,364.6,0
12374,3.258096538021482,0.6931471805599453,6.6119469443852195,342,33,742.9300000000001,0
12375,2.4849066497880004,1.0986122886681098,6.127960291696519,178,14,228.75,0
12377,5.755742213586912,1.0986122886681098,7.395795270713971,944,72,814.06,0
12378,4.875197323201151,0.6931471805599453,8.29645175271804,2529,219,4008.62,0
12379,4.418840607796598,1.0986122886681098,6.749040867823617,407,39,426.12,0
12380,3.1354942159291497,1.6094379124341003,7.910520910634419,1127,77,681.2025,1
12381,1.791759469228055,1.791759469228055,7.520944331624911,808,70,369.062,1
12383,5.225746673713202,1.791759469228055,7.523783805985769,1532,84,370.11199999999997,1
12384,3.4011973816621555,1.0986122886681098,6.373780434317173,126,26,292.635,0
12386,5.82600010738045,1.0986122886681098,5.998688392197302,354,10,200.95,0
12388,2.833213344056216,1.9459101490553132,7.930803150780256,1462,57,463.4433333333333,1
